"Group","Family","Scientific_name","Name_Status","Accepted_Name","FloraStatus","FloraPage","ConceptNum","Acronym","Scientific_name_auths"
"Dicotyledons","Apiaceae","Cymopterus longipes","Accepted","Cymopterus longipes",,,9963,"CYMLON","Cymopterus longipes S. Watson "
"Dicotyledons","Apiaceae","Cymopterus longipes var. ibapensis","Accepted","Cymopterus longipes var. ibapensis","Fully described","vol2, pg97",1367,"CYMLONIBA","Cymopterus longipes S. Watson var. ibapensis (M.E. Jones) Cronquist "
"Dicotyledons","Apiaceae","Cymopterus nivalis","Accepted","Cymopterus nivalis","Fully described","vol2, pg97",4449,"CYMNIV","Cymopterus nivalis S. Watson "
"Dicotyledons","Apiaceae","Cymopterus petraeus","Accepted","Cymopterus petraeus","Fully described","vol2, pg97",1358,"CYMPET","Cymopterus petraeus M.E. Jones "
"Dicotyledons","Apiaceae","Cymopterus purpurascens","Accepted","Cymopterus purpurascens","Fully described","vol2, pg97",4512,"CYMPUR","Cymopterus purpurascens (A. Gray) M.E. Jones "
"Dicotyledons","Apiaceae","Cymopterus terebinthinus","Accepted","Cymopterus terebinthinus","Fully described","vol2, pg98",9004,"CYMTER","Cymopterus terebinthinus (Hook.) Torr. & A. Gray "
"Dicotyledons","Apiaceae","Cymopterus terebinthinus var. foeniculaceus","Accepted","Cymopterus terebinthinus var. foeniculaceus","Fully described","vol2, pg98",1365,"CYMTERFOE","Cymopterus terebinthinus (Hook.) Torr. & A. Gray var. foeniculaceus (Torr. & A. Gray) Cronquist "
"Dicotyledons","Apiaceae","Cymopterus terebinthinus var. petraeus","Synonym","Cymopterus petraeus",,,1358,"CYMTERPET","Cymopterus terebinthinus (Hook.) Torr. & A. Gray var. petraeus (Jones) S. Goodrich "
"Dicotyledons","Apiaceae","Cymopterus terebinthinus var. terebinthinus","Accepted","Cymopterus terebinthinus var. terebinthinus","Fully described","vol2, pg98",1366,"CYMTERTER","Cymopterus terebinthinus (Hook.) Torr. & A. Gray var. terebinthinus "
"Dicotyledons","Apiaceae","Cymopterus watsonii","Synonym","Cymopterus longipes var. ibapensis",,,1367,"CYMWAT","Cymopterus watsonii (J.M. Coult. & Rose) M.E. Jones "
"Dicotyledons","Apiaceae","Daucus pusillus","Accepted","Daucus pusillus","Fully described","vol2, pg99",1376,"DAUPUS","Daucus pusillus Michx. "
"Dicotyledons","Apiaceae","Eryngium alismifolium","Accepted","Eryngium alismifolium","Fully described","vol2, pg100",1603,"ERYALI","Eryngium alismifolium Greene "
"Dicotyledons","Apiaceae","Eryngium articulatum","Accepted","Eryngium articulatum","Fully described","vol2, pg100",1607,"ERYART","Eryngium articulatum Hook. "
"Dicotyledons","Apiaceae","Eryngium petiolatum","Accepted","Eryngium petiolatum","Fully described","vol2, pg100",1719,"ERYPET","Eryngium petiolatum Hook. "
"Dicotyledons","Apiaceae","Glehnia leiocarpa","Accepted","Glehnia leiocarpa","Fully described","vol2, pg101",1943,"GLELEI","Glehnia leiocarpa Mathias "
"Dicotyledons","Apiaceae","Glehnia littoralis ssp. leiocarpa","Synonym","Glehnia leiocarpa",,,1943,"GLELITLEI","Glehnia littoralis F. Schmidt ex Miq. ssp. leiocarpa (Mathias) Hultén "
"Dicotyledons","Apiaceae","Heracleum lanatum","Synonym","Heracleum maximum",,,2040,"HERLAN","Heracleum lanatum Michx. "
"Dicotyledons","Apiaceae","Heracleum maximum","Accepted","Heracleum maximum","Fully described","vol2, pg102",2040,"HERMAX","Heracleum maximum W. Bartram "
"Dicotyledons","Apiaceae","Ligusticum apiifolium","Accepted","Ligusticum apiifolium","Fully described","vol2, pg103",2352,"LIGAPI","Ligusticum apiifolium (Nutt.) A. Gray "
"Dicotyledons","Apiaceae","Ligusticum californicum","Accepted","Ligusticum californicum","Fully described","vol2, pg103",2366,"LIGCAL","Ligusticum californicum J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Ligusticum canbyi","Accepted","Ligusticum canbyi","Fully described","vol2, pg103",2364,"LIGCAN","Ligusticum canbyi J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Ligusticum filicinum","Accepted","Ligusticum filicinum","Fully described","vol2, pg103",2381,"LIGFIL","Ligusticum filicinum S. Watson "
