Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,FloraPage,ConceptNum,Acronym
Dicotyledons,Convolvulaceae,Cuscuta brachycalyx,Accepted,Cuscuta brachycalyx,,native,Fully described,"vol2, pg591",14527,CUSBRA
Dicotyledons,Convolvulaceae,Cuscuta californica,Accepted,Cuscuta californica,Bare species,native,,,14449,CUSCAL
Dicotyledons,Convolvulaceae,Cuscuta californica var. breviflora,Synonym,Cuscuta occidentalis,,,,,1328,CUSCALBRE
Dicotyledons,Convolvulaceae,Cuscuta californica var. californica,Accepted,Cuscuta californica var. californica,,native,Fully described,"vol2, pg592",1323,CUSCALCAL
Dicotyledons,Convolvulaceae,Cuscuta campestris,Accepted,Cuscuta campestris,,native,Fully described,"vol2, pg592",14450,CUSCAM
Dicotyledons,Convolvulaceae,Cuscuta cephalanthi,Accepted,Cuscuta cephalanthi,,native,Fully described,"vol2, pg592",1324,CUSCEP
Dicotyledons,Convolvulaceae,Cuscuta epithymum,Accepted,Cuscuta epithymum,Bare species,naturalized,,,14448,CUSEPI
Dicotyledons,Convolvulaceae,Cuscuta epithymum var. epithymum,Accepted,Cuscuta epithymum var. epithymum,,naturalized,Fully described,"vol2, pg592",1326,CUSEPIEPI
Dicotyledons,Convolvulaceae,Cuscuta indecora,Accepted,Cuscuta indecora,Bare species,native,,,9787,CUSIND
Dicotyledons,Convolvulaceae,Cuscuta indecora var. indecora,Accepted,Cuscuta indecora var. indecora,,native,Fully described,"vol2, pg592",14172,CUSINDIND
Dicotyledons,Convolvulaceae,Cuscuta indecora var. neuropetala,Synonym,Cuscuta indecora var. indecora,,,,,14172,CUSINDNEU
Dicotyledons,Convolvulaceae,Cuscuta occidentalis,Accepted,Cuscuta occidentalis,,native,Fully described,"vol2, pg593",1328,CUSOCC
Dicotyledons,Convolvulaceae,Cuscuta pacifica,Accepted,Cuscuta pacifica,Bare species,native,,,14452,CUSPAC
Dicotyledons,Convolvulaceae,Cuscuta pacifica var. pacifica,Accepted,Cuscuta pacifica var. pacifica,,native,Fully described,"vol2, pg593",4542,CUSPACPAC
Dicotyledons,Convolvulaceae,Cuscuta pentagona,Misapplied,Cuscuta campestris,,,,,14450,CUSPEN
Dicotyledons,Convolvulaceae,Cuscuta pentagona var. calycina,Synonym,Cuscuta campestris,,,,,14450,CUSPENCAL
Dicotyledons,Convolvulaceae,Cuscuta pentagona var. pentagona,Misapplied,Cuscuta campestris,,,,,14450,CUSPENPEN
Dicotyledons,Convolvulaceae,Cuscuta salina,Misapplied,Cuscuta pacifica var. pacifica,,,,,4542,CUSSAL
Dicotyledons,Convolvulaceae,Cuscuta salina var. major,Misapplied,Cuscuta pacifica var. pacifica,,,,,4542,CUSSALMAJ
Dicotyledons,Convolvulaceae,Cuscuta salina var. salina,Synonym,Cuscuta pacifica var. pacifica,,,,,4542,CUSSALSAL
Dicotyledons,Convolvulaceae,Cuscuta suksdorfii,Accepted,Cuscuta suksdorfii,,native,Fully described,"vol2, pg593",14451,CUSSUK
Dicotyledons,Convolvulaceae,Dichondra donelliana,Accepted,Dichondra donelliana,,native,Fully described,"vol2, pg593",4966,DICDON
Dicotyledons,Convolvulaceae,Dichondra occidentalis,Misapplied,Dichondra donelliana,,,,,4966,DICOCC
Dicotyledons,Cornaceae,Cornus × californica,Synonym,Cornus sericea,,,,,1238,CORCAL3
Dicotyledons,Cornaceae,Cornus canadensis,Misapplied,Cornus unalaschkensis,,,,,1191,CORCAN
Dicotyledons,Cornaceae,Cornus glabrata,Accepted,Cornus glabrata,,native,Fully described,"vol2, pg594",1204,CORGLA
Dicotyledons,Cornaceae,Cornus nuttallii,Accepted,Cornus nuttallii,,native,Fully described,"vol2, pg594",1223,CORNUT
Dicotyledons,Cornaceae,Cornus obliqua,Accepted,Cornus obliqua,,not naturalized,,,14431,COROBL
Dicotyledons,Cornaceae,Cornus occidentalis,Synonym,Cornus sericea,,,,,1238,COROCC
Dicotyledons,Cornaceae,Cornus sericea,Accepted,Cornus sericea,,native,Fully described,"vol2, pg595",1238,CORSER
Dicotyledons,Cornaceae,Cornus sericea ssp. occidentalis,Synonym,Cornus sericea,,,,,1238,CORSEROCC
Dicotyledons,Cornaceae,Cornus sericea ssp. sericea,Synonym,Cornus sericea,,,,,1238,CORSERSER
Dicotyledons,Cornaceae,Cornus sessilis,Accepted,Cornus sessilis,,uncertain,,,14271,CORSES
Dicotyledons,Cornaceae,Cornus stolonifera,Synonym,Cornus sericea,,,,,1238,CORSTO
Dicotyledons,Cornaceae,Cornus stolonifera var. occidentalis,Synonym,Cornus sericea,,,,,1238,CORSTOOCC
